family_id,split,total,ARTEFACT,ARTEFACT_%,CONCEPT,CONCEPT_%,PERSON,PERSON_%,PLACE,PLACE_%,ORG,ORG_%,CULTURE,CULTURE_%,BIBL,BIBL_%
figure,dev,2504,1380,55.1%,393,15.7%,203,8.1%,134,5.4%,62,2.5%,42,1.7%,290,11.6%
keramik,train,4391,2297,52.3%,576,13.1%,304,6.9%,460,10.5%,181,4.1%,182,4.1%,391,8.9%
kunstf,train,5772,2843,49.3%,889,15.4%,512,8.9%,539,9.3%,323,5.6%,259,4.5%,407,7.1%
metal,dev,9711,2860,29.5%,5233,53.9%,599,6.2%,406,4.2%,85,0.9%,99,1.0%,429,4.4%
stereo,test,6804,3186,46.8%,2857,42.0%,207,3.0%,332,4.9%,5,0.1%,109,1.6%,108,1.6%
tektonik,train,4133,1461,35.3%,1877,45.4%,173,4.2%,276,6.7%,10,0.2%,151,3.7%,185,4.5%
textil1,dev,4092,1319,32.2%,1743,42.6%,363,8.9%,257,6.3%,35,0.9%,174,4.3%,201,4.9%
textil2,train,10920,3327,30.5%,4431,40.6%,1125,10.3%,886,8.1%,50,0.5%,430,3.9%,671,6.1%
textil_ex,train,3909,1549,39.6%,990,25.3%,358,9.2%,181,4.6%,34,0.9%,90,2.3%,707,18.1%
varia,test,3201,1148,35.9%,1146,35.8%,320,10.0%,268,8.4%,78,2.4%,73,2.3%,168,5.2%
