filepath,family_id,split
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_186_1.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_186_2.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_193_1.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_193_2.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_193_3.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_198_1.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_203_3.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_204_1.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_204_3.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_204_5.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_205_1.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_205_2.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_205_4.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_205_5.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_205_6.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_205_7.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_205_8.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_214_5_1.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_215_19_1.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_250_1.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_250_10.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_250_11.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_250_12.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_250_13.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_250_14.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_250_15.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_250_16.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_250_17.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_250_18.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_250_19.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_250_20.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_250_21.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_250_22.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_250_23.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_250_25.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_250_26.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_250_27.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_250_28.xml,varia,test
